hashtag;name;format;height;width;height_to_width;ncol
airbus;1095.jpg;jpg;1080;1080;1.0;3
airbus;1096.jpg;jpg;810;1080;0.75;3
airbus;1097.jpg;jpg;1080;1080;1.0;3
airbus;1098.jpg;jpg;810;1080;0.75;3
airbus;1099.jpg;jpg;1080;1080;1.0;3
airbus;11.jpg;jpg;1133;1080;1.049074074074074;3
airbus;110.jpg;jpg;1080;1080;1.0;3
airbus;1100.jpg;jpg;1080;1080;1.0;3
airbus;1101.jpg;jpg;721;1080;0.6675925925925926;3
airbus;1102.jpg;jpg;480;480;1.0;3
airbus;1103.jpg;jpg;810;1080;0.75;3
airbus;1104.jpg;jpg;640;640;1.0;3
airbus;1105.jpg;jpg;1080;1080;1.0;3
airbus;1106.jpg;jpg;1080;1080;1.0;3
airbus;1107.jpg;jpg;1079;1080;0.9990740740740741;3
airbus;1108.jpg;jpg;1350;1080;1.25;3
airbus;1109.jpg;jpg;615;1080;0.5694444444444444;3
airbus;111.jpg;jpg;341;607;0.5617792421746294;3
airbus;1110.jpg;jpg;405;720;0.5625;3
airbus;1111.jpg;jpg;1350;1080;1.25;3
airbus;1112.jpg;jpg;1080;1080;1.0;3
airbus;1113.jpg;jpg;720;1080;0.6666666666666666;3
airbus;1114.jpg;jpg;732;1080;0.6777777777777778;3
airbus;1115.jpg;jpg;810;1080;0.75;3
airbus;1116.jpg;jpg;808;1080;0.7481481481481481;3
airbus;1117.jpg;jpg;782;1080;0.7240740740740741;3
airbus;1118.jpg;jpg;630;1022;0.6164383561643836;3
airbus;1119.jpg;jpg;819;1024;0.7998046875;3
airbus;112.jpg;jpg;1080;1080;1.0;3
airbus;1120.jpg;jpg;846;846;1.0;3
airbus;1121.jpg;jpg;675;1080;0.625;3
airbus;1122.jpg;jpg;405;720;0.5625;3
airbus;1123.jpg;jpg;810;1080;0.75;3
airbus;1124.jpg;jpg;720;1080;0.6666666666666666;3
airbus;1125.jpg;jpg;688;1080;0.6370370370370371;3
airbus;1126.jpg;jpg;1350;1080;1.25;3
airbus;1127.jpg;jpg;1350;1080;1.25;3
airbus;1128.jpg;jpg;1080;1080;1.0;3
